Name,upload_date,category,view_count,like_count,dislike_count,frames,number_shots,dark_perc_std,dark_perc_mean,saturated_perc_std,saturated_perc_mean,red_perc_std,red_perc_mean,white_perc_std,white_perc_mean,tags
"STARTING AN ONLINE BUSINESS _ photography, modeling, thrifting, website design-c12qIxR2QOA",20180228,Howto & Style,277720,11646,114,21437,463,57.85003806,93.69934091,9.528760237,1.412387564,7.778534688,2.131600588,76.21007421,239.7887327,"starting a business, starting an online business, starting an online store, starting a clothing line, starting an online boutique, starting an online clothing business, starting an online business with no money, starting an online clothing boutique, starting an online shop, starting an online business for dummies, starting a business from scratch, starting a business in college, starting a business as a teenager, starting a business at 19, how to start a business"
STYLING BASICS _ 5 PIECES 15 OUTFITS-FQGnGketNbs,20170921,Howto & Style,283576,12081,81,16792,121,37.71834073,54.90627058,12.84528082,0.899990061,2.529614715,0.847921093,44.61508677,297.1781732,"styling basics, styling basic clothes, 5 pieces 10 outfits, basics mashup, how to style basics, how to style basic clothes, how to style basic outfits, how to style basics and essentials, wardrobe essentials, wardrobe basics, closet essentials, closet basics, basics mix and match, basic outfits, basic outfit ideas, basic outfits for school, how to style basics for fall, how i style basics, styling basics fall 2017"
SUMMER LOOKBOOK (lots o’ outfit ideas)-Mow45NRck0M,20190516,Howto & Style,1711492,127118,406,10552,229,59.62047476,192.3741026,12.56243935,3.819512172,15.16527133,10.04085394,64.39472366,91.42926148,"summer lookbook, summer lookbook 2019, summer outfit ideas, casual outfit ideas, spring outfit ideas, outfits of the week, outfits of the week college, ootw, outfit ideas, lookbook, outfit ideas summer, outfit ideas 2019, how to style a midi skirt, colorful outfits, how to style color, summer ootw, summer outfits, everyday outfit ideas, every day outfit ideas, outfit inspo, lookbook 2019, la lookbook, aesthetic lookbook, retro lookbook, 90's lookbook, 70's lookbook"
summer outfits of the week _warning - v cute-nYYu0zsrmck,20190630,Howto & Style,1005067,79147,301,7642,44,36.57984412,157.5609167,4.778781602,2.616983325,10.4986628,8.114815483,35.09434926,134.4765512,"ootw, ootw summer, summer outfits, summer outfit ideas, outfit ideas, outfit ideas 2019, ootw college, casual ootw, casual summer outfit ideas, easy summer outfit ideas, casual outfit ideas 2019, 50 outfit ideas, outfit of the week, outfit of the week summer, what i wore this week, what i've been wearing, my week in outfits, outfit of the day, ootd, outfit of the day summer, fashion, summer lookbook, summer fashion, summer trends, 2019 trends, outfits for summer"
SUMMER TO FALL LOOKBOOK 2017 _ transitional outfits-I45sNNtPuyM,20170914,Howto & Style,36237,1736,11,4915,111,70.61762402,91.37578529,1.196914031,0.536118297,7.455790646,3.377586844,100.4243742,217.3318654,"summer to fall outfits, summer to fall transition outfits, summer to fall transition lookbook, summer to fall transition outfits 2017, summer to fall transition 2017, transitional lookbook, early fall lookbook, early fall outfits, early fall loobook 2017, late summer lookbook, late summer loobook 2017, fall lookbook, fall lookbook 2017, fall outfits 2017, fall outfit ideas, fall outfit lookbook, fall outfits of the week"
summer try-on thrift haul -pjfayLVVObc,20190523,Howto & Style,1399300,96233,620,16207,181,32.50850338,36.4965722,7.099006801,1.85927173,12.6886641,14.3737249,62.37495027,139.7607448,"summer thrift haul, thrift haul, try on thrift haul, thrift store haul, affordable haul, clothing haul, summer clothing haul, summer haul, thrift haul 2019, thrift haul try on, thred up haul, online thift haul, thrift haul goodwill, thrift haul salvation army, 90s thrift haul, 80s thrift haul, 2000s thrift haul, depop haul, sustainable haul, thrift haul best dressed, come thrifting with me, thrift with me, spicy thrift haul, spring thrift haul"
"SUSTAINABLE HAUL reformation, re_done, vintage-Wvp50gSvVNw",20181108,Howto & Style,908665,42652,244,19548,255,29.2309355,54.61499482,5.528808011,7.284127169,5.177811073,8.533677804,65.03445264,221.1334447,"fall haul, fall haul 2018, winter haul, winter haul 2018, sustainable haul, susatianable clothing haul, sustainable fashion, zero waste, fast fashion, quitting fast fashion, try on haul, try on haul 2018, vintage, reformation haul, reformation, jeans haul, try on clothing haul, ethical fashion brands, ethical fashion, ethical clothing, ethical clothing haul, sustainable brands, everlane, clothing haul, sustainable clothing, redone jeans, the real real, try on fall haul"
taking everyone i love on dates  -)-qZ-RxlGagwU,20190117,Howto & Style,878702,84998,154,15713,263,102.4615793,165.5884095,10.52814048,7.694152081,20.46872139,11.2823303,81.53728547,120.4400847,"lookbook, date night lookbook, going out lookbook, revolve, nighttime lookbook, clubbing lookbook, what to wear on a first date, what to wear on a date, date vlog, date night vlog, best dressed boyfriend, date night vlogbook, ootw, college ootw, la vlog, self care, self care tips, girls night out, girls night out lookbook, self care day, taking myself on a date, taking myself on a date vlog, outfits of the week, date night lookbook 2019, valentines day lookbook"
taking myself on a date -PIZIB8XdtqY,20190808,Howto & Style,1884459,143769,876,21754,757,78.4496025,155.7879326,5.954905047,2.786745932,20.50862914,13.88099397,74.16058429,138.513046,"having fun by myself, having fun by myself emma chamberlain, self care day, self care sunday, concert vlog, taking everyone i love on dates, taking myself on a date, taking myself on a lunch date, how to have a fun night alone, how to have fun when you haven no friends, how to have a fun night when you have no freinds, how to go out by yourself, date ideas, day in my life, plant shopping, i made myself dinner, cooking myself dinner"
talkin bout body image _ a journey down the fitness rabbithole-kao2Kgoho98,20171230,Howto & Style,188444,8033,30,8572,21,9.249507498,28.85711427,0.03947788,0.008293895,1.514981059,2.65359304,23.50834875,308.7333504,"body image, my fitness journey, fitness journey before and after, freshman 15, body image and self confidence, body image talk, mental health, eating disorder, eating disorder story, body image and the media, body image issues, social media body image, toxic fitness culture, how to stay fit, how to lose weight, how to get fit 2018, fitness motivation, fitness culture, dieting culture, mental health awareness, eating disorder awareness, freshman 15 story, bestdressed"
Talking Shit About Spring Trends-zPOJ4rCCj_c,20170420,Howto & Style,15891,602,3,19670,131,33.13227749,98.23201325,6.852077883,10.95981909,8.726587421,20.79049757,64.93121519,159.5362781,"trends spring summer 2017, spring trends, spring trends 2017, spring fashion 2017, spring fashion 2017 women, spring fashion trends 2017, spring fashion trends, trend report 2017, hot spring trends, hot spring trends 2017, spring fashion runway, spring summer 2017, spring summer 2017 fashion trends, spring summer 2017 fashion, spring summer 2017 trends, bestdressed"
THE _sickest_ THRIFT HAUL EVER-34QE6DCGl5Q,20181220,Howto & Style,2342151,80352,774,17459,285,55.1047804,105.8518816,9.540847456,2.943297819,3.049977879,2.533927318,44.07554716,218.8337676,"thrift haul, thrift haul 2018, thrift haul 2019, try on thirft haul, thrift store haul, thrifting, thrift haul goodwill, goodwill haul, winter thrift haul, thrift haul try on, winter try on thrift haul, thrift haul vintage, la thrift haul, thrift haul winter 2018, thrift haul winter 2019, huge thrift haul, $100 thrift haul, thrift flip, thrift shopping, thrift haul vintage dresses, winter try on haul, clothing haul, affordable clothing haul, winter haul"
THE BOYFRIEND TAG-1cI2zmiij1I,20190214,Howto & Style,1470187,75147,556,20203,178,14.52642716,29.63175854,18.44401925,82.90826336,15.77902481,42.38173272,7.404216432,2.046434436,"the boyfriend tag, boyfriend tag 2019, best dressed boyfriend, bestdressed boyfriend, best dressed ashley, best dressed ashley boyfriend, best dressed david, valentines day, meet my boyfriend, get to know my boyfriend, boyfriend reveal, how much does my boyfriend know about me, quizzing my boyfriend, testing my boyfriend, best dressed bf, best dressed sex, best dressed advice, relationship advice, sex advice, my first kiss, my first time, how to get a boyfriend"
The I Sold My Soul to Brandy Melville Try-On Haul _ Fall 2015-HcL8LYFIUh4,20151008,Howto & Style,42981,1111,20,11242,72,9.243778207,20.06491835,19.36436828,36.93120825,23.78793029,31.83886323,6.512928793,9.969442644,"brandy melville, bm, brandy, brandy melville haul, clothing haul, fall 2015 haul, fall clothing haul, brandy haul, brandy haul 2015, brandy melville haul 2015, brandy melvillle haul fall 2015, october, back to schoool, back to school haul, bts haul, t-shirt dress, Clothing (Industry), fashion, fall haul, clothes, clothes i bought, fashion haul, fall clothing haul 2015, Dress (Industry), try on haul, try-on haul, fall try on haul, brandy try on haul, brandy melvile try on haul"
the ugly truth about beauty standards + my insecurities-u5-FA8tu5wE,20190905,Howto & Style,1533605,125637,468,35841,161,31.58851306,41.33725205,6.358311809,10.7630515,14.17979784,77.87811332,39.60993946,114.1730111,"everyday makeup, my insecurities, my perfect imperfections, my imperfections, insecurity, struggle with insecurity, unrealistic beauty standards, facetune, snapchat dysmorphia, snapchat filters, my thoughts on social media, beauty standards, quitting social media, girl talk, girl talk insecurities, self confidence, how to be confident, how to be confident in yourself, my insecurities revealed, body image, talking about my insecurities, my deepest insecurities, self esteem"
THE ULTIMATE APARTMENT MAKEOVER + apartment tour!-7hKTaDncNic,20191223,Howto & Style,4939182,276364,2930,59821,1316,74.84379306,92.35322851,10.77191409,2.764651426,50.06325394,28.74194766,92.03322927,171.1518342,"apartment makeover, ultimate apartment makeover, extreme apartment makeover, los angeles apartment, apartment tour, LA apartment tour, apartment tour 2020, bedroom makeover, the ultimate bedroom makeover, room makeover, extreme bedroom makeover, room makeover on a budget, house tour, home tour, sweet digs, how to wallpaper, houseplant tour, bedroom transformation, apartment transformation, contact paper, kitchen makeover, bathroom makeover, room makeover aesthetic"
THE ULTIMATE BEDROOM MAKEOVER + room tour-FSHITL5oedk,20180802,Howto & Style,9850601,357646,6024,30729,846,61.5338295,64.84188321,11.803567,3.352362672,22.20614219,8.214560762,83.90124377,254.1948467,"room makeover, room makeover 2018, room makeover on a budget, room makeover for teenagers, room makeover time lapse, room makeover diy, room makeover thrift store, extreme room makeover, ultimate room makeover, college dorm makeover, college room makeover, room tour, room tour 2018, room tour aesthetic, room tour tumblr, room tour urban outfitters inspired, room makeover urban outfitters inspired, thrifted room decor, diy faux brick wall, room makeover aesthetic"
the ultimate guide to closet essentials-TuPyVPdH814,20190418,Howto & Style,3465090,182487,927,25980,264,31.85093928,82.56426367,4.745038153,1.246257215,24.46884639,8.971893539,65.0986576,239.3151355,"closet essentials, wasrdrobe essentials, closet essentials 2019, closet essentials spring 2019, summer essentials, wardrobe essentials 2019, closet essentials for college, closet essentials everyday wear, closet erssentials minimalist, how to build a wardrobe, capsule wardrobe, how to put together an outfit 101, testing basics, closet basics, wardrobe basics, denim guide, guide to basics, basics every girl needs in her closet, basics every girl needs, closet staples"
Things You Miss When You Come Home From College-tuvZkJGv0EY,20170113,Film & Animation,24823,1640,2,2841,30,144.0646878,131.3939485,54.22644325,36.86950117,59.75605606,37.98664178,139.3086577,136.0459761,"missing home, coming home, coming home from college, buzzfeed college, bestdressed, buzzfeed missing home, missing home short film, coming back home, coming back home for christmas, coming back home short film, missing home in college, college experience, college expectations vs reality, college experience vs reality, college expectations, college expectations vs reality us, going to college, going to college out of state, being homesick at college"
THRIFT FLIP _ diy new years eve dress-URdwRmpNYFc,20171228,Howto & Style,216152,7369,73,7152,170,77.95861749,100.1129385,0.907025574,0.208329736,6.248690312,2.96907465,93.63049514,249.4940322,"thrift flip, thrift flip 2018, thrift flip clothes, thrift flip diy, thrift flip dress, thrifted transformations, thrifted transformation, thrifted transformation dress, thrift diy, thrifted diy, diy thrift store clothes, thrift diy clothes, thrift store diy, thrift shop diy, sewing tutorial, diy dress, thrift store diy clothes, thrift store diy challenge, new years eve outfit, nye outfit ideas, nye outfit 2018, bestdressed, thrift haul, thrift, thrifting"
THRIFT FLIP _ diy urban outfitters for ur inner hipster-wMF1tIR1-4g,20190307,Howto & Style,3741181,203437,1047,16506,252,47.3487105,70.56018203,7.282036618,7.638608305,48.69218727,34.51450207,79.45138303,208.1281038,"thrift flip, bestdressed thrift flip, diy, thrifted transformation, thrifted diy, diy shorts, downsize jeans, jeans to shorts, oversized jeans to shorts, diy high waisted shorts, diy cropped sweater, how to crop a sweater, how to downsize jeans, how to make jeans smaller, diy skirt, thrift store diy, thrift flip shorts, thrift flip jeans, thrift flip clothes, thrift flip best dressed, thrift flip dress, thrift flip 2019, jeans into shorts, diy jean shorts"
THRIFT FLIP _ reformation inspired dresses + skirts-BYl8SUYHNnM,20180830,Howto & Style,2509609,119105,759,13620,281,50.95934313,48.11311836,1.915332835,1.141591252,7.172824003,6.022157853,65.93407601,243.3045557,"thrift flip, thrifted transformation, thrift store diy, thrift store transformation, thrifted transformations, thirfted outfits, reformation dupe, reformation dress, reformation diy, thrift flip 2018, thrift flip dresses, diy reformation dress, diy reformation, realisation par, dit realisation par, diy summer dress, thrifted transformation dress, thrifted diy, diy clothes, diy dress, diy thrift flip, thrifted dress diy, thrift flip clothes, thrift flip diy"
"THRIFT FLIP _ transforming old jeans, dresses + tshirts-Pekm5wGO5YI",20180607,Howto & Style,2609034,92391,909,11719,336,62.56515349,68.24738836,0.699314321,0.145237462,8.957116294,4.239697413,98.49178728,245.07778,"thrift flip, thrift flip clothes, thrift flip dress, thrift flip jeans, diy thrift flip, diy thrifted transformation, thrifted transforamtion, diy thrifted clothes, upcycle tshirt, diy thrifted jeans, how to alter jeans, how to alter pants that are too big, how to alter a dress that's too big, upcycle clothes, upcycle diy, upcycle thrift clothes, upcycle jeans, upcycle shirt, thrift haul, thrift store diy, thrift store transformations"
